web-scraper-order,web-scraper-start-url,pages-link,pages-link-href,superficie,prix,adresse,Image_lien-src
"1716428362-1727","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4637375_uploaded_image2_1710197933.jpeg"
"1716428362-1728","https://sn.coinafrique.com/categorie/terrains?page=7","Terrain 150m² - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-4593864","Superficie150 m2","20 000 000 CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_4593864_uploaded_image1_1707928413.jpg"
"1716428363-1104","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 1ha   - Fatick","https://sn.coinafrique.com/annonce/terrains/terrain-1ha-fatick-4699824","Superficie1","Prix sur demande","Fatick, Sénégal",""
"1716428364-383","https://sn.coinafrique.com/categorie/terrains?page=6","Terrain 150m² - Saly Darou Salam","https://sn.coinafrique.com/annonce/terrains/terrain-150m-saly-darou-salam-4665829","Superficie150 m2","13 500 000 CFA","Mbour, Sénégal",""
"1716428364-443","https://sn.coinafrique.com/categorie/terrains?page=5","Terrain - Keur Massar","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-4686354","Superficie150 m2","8 000 000 CFA","Mbao, Dakar, Sénégal",""
"1716428364-2715","https://sn.coinafrique.com/categorie/terrains?page=6","Vente villa à démolir - Sacré-coeur","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-sacre-coeur-4628796","Superficie177","130 000 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4718339_uploaded_image1_1714496474.jpg"
"1716428364-2716","https://sn.coinafrique.com/categorie/terrains?page=6","Vente villa à démolir - Sacré-coeur","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-sacre-coeur-4628796","Superficie177","130 000 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4628796_uploaded_image1_1709737154.jpg"
"1716428364-2717","https://sn.coinafrique.com/categorie/terrains?page=6","Vente villa à démolir - Sacré-coeur","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-sacre-coeur-4628796","Superficie177","130 000 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4468447_uploaded_image1_1700676352.jpg"
"1716428364-2718","https://sn.coinafrique.com/categorie/terrains?page=6","Vente villa à démolir - Sacré-coeur","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-sacre-coeur-4628796","Superficie177","130 000 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4467796_uploaded_image1_1700649412.jpg"
"1716428367-510","https://sn.coinafrique.com/categorie/terrains?page=4","Vente villa à démolir - Yeumbeul","https://sn.coinafrique.com/annonce/terrains/vente-villa-a-demolir-yeumbeul-4698980","Nbre de pièces3","45 000 000 CFA","Dakar, Sénégal",""
"1716428370-1105","https://sn.coinafrique.com/categorie/terrains?page=4","Terrain 300m²  - Mbour","https://sn.coinafrique.com/annonce/terrains/terrain-300m-mbour-4699888","Superficie300","5 000 000 CFA","Mbour, Sénégal",""
